unique_identifier,l0,l1,l2,l3,l4,level,segment,fte,contractor,fte_cost_avg,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,driver_group,driver,year,min,mid,max
1,CEO,None,Board Secretary,,,2,Support,4,0,"32,405",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,4,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,N,,,,,,,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,conrev,entrev,0,100,120,144
2,CEO,None,Board Secretary,Governance and Studies,,3,Support,4,0,"34,052",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,4,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,N,,,,,,,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,entrev,entrev,1,120,144,172.8
3,CEO,None,Board Secretary,Technical Assistance,,3,Support,2,0,"29,257",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,N,,,,,,,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,stcsub,entrev,2,130,156,187.2
4,CEO,Group CEO,,,,1,Critical,3,13,,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,16,16,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,N,,,,,,,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,conrev,entrev,3,140,168,201.6
178,Consumer,,,,,0,,6,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,4,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,headcount,conrev,0,200,240,288
179,Consumer,None,Planning & Performance,,,2,,8,0,"38,473",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,8,8,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,entrev,conrev,1,220,264,316.8
1557,Consumer,None,Planning & Performance,Contracts & Agreements,Contracts & Agreement,4,Core,18,0,,0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,17,18,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,headcount,conrev,2,230,276,331.2
180,Consumer,None,Planning & Performance,Financial Control & Operations,,3,,3,0,"38,422",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,entrev,conrev,3,240,288,345.6
181,Consumer,None,Planning & Performance,Financial Control & Operations,Districts Operations Control (D),4,Support,48,0,"33,650",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,44,48,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,stcsub,whorev,0,300,360,432
182,Consumer,None,Planning & Performance,Financial Control & Operations,Financial Control,4,Support,8,0,"21,934",0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,8,8,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,whorev,whorev,1,320,384,460.8
