Magazyn;Indeks;Jednostka miary;Stan;Stan minimalny;Wartoœæ;Nazwa;EAN-13;Symbol SWW PKWiU;Jednostka miary;
1;1;kg;0;5000;0;Styrolep;;26.64.10 - 00.90;kg;"insert into stany_mag (1,1,'kg',0,5000,0,'Styrolep','kg');"
1;10;szt.;0;1000;0;£acznik do termoizolacji 160;;25.23.15 - 90.10;szt.;"insert into stany_mag (1,10,'szt.',0,1000,0,'£acznik do termoizolacji 160','szt.');"
1;100;kg;0;0;0;106 TYNK MARMURIT 106;;24.30.22 - 60.39;kg;"insert into stany_mag (1,100,'kg',0,0,0,'106 TYNK MARMURIT 106','kg');"
1;1000;szt;0;0;0;Puszka inst. zwyk³a podtynkwa;;;szt;"insert into stany_mag (1,1000,'szt',0,0,0,'Puszka inst. zwyk³a podtynkwa','szt');"
1;1001;szt;7;0;132,42;Zaprawa do klinkieru Grafit;;26.64.10-00.14;szt;"insert into stany_mag (1,1001,'szt',7,0,132,42,'Zaprawa do klinkieru Grafit','szt');"
1;1002;kg;22,53;0;182,49;Wkrêt do drewna 100mm;;;kg;"insert into stany_mag (1,1002,'kg',22,53,0,182,49,'Wkrêt do drewna 100mm','kg');"
1;1003;szt;4;0;187;Nadpro¿e L-19 - 2,70 m;;26.61.12-20.10;szt;"insert into stany_mag (1,1003,'szt',4,0,187,'Nadpro¿e L-19 - 2,70 m','szt');"
1;1004;szt;5;0;79,45;Nadpro¿e L-19 -1,2m;;26.61.12-20.10;szt;"insert into stany_mag (1,1004,'szt',5,0,79,45,'Nadpro¿e L-19 -1,2m','szt');"
1;1005;szt;10;0;193,7;Nadpro¿e L-19 -1,5 m;;26.61.12-20.10;szt;"insert into stany_mag (1,1005,'szt',10,0,193,7,'Nadpro¿e L-19 -1,5 m','szt');"
1;1006;szt;10;0;261,8;Nadpro¿e L-19 -1,80 m;;26.61.12-20.10;szt;"insert into stany_mag (1,1006,'szt',10,0,261,8,'Nadpro¿e L-19 -1,80 m','szt');"
1;1007;szt;0;0;0;Vox Pianka izolacyjna 1x50 m;;;szt;"insert into stany_mag (1,1007,'szt',0,0,0,'Vox Pianka izolacyjna 1x50 m','szt');"
1;1008;m2;0;0;0;Vox Panel pod. Woodart;;;m2;"insert into stany_mag (1,1008,'m2',0,0,0,'Vox Panel pod. Woodart','m2');"
1;1009;szt;18;0;134,4;Vox Listwa przyp.;;;szt;"insert into stany_mag (1,1009,'szt',18,0,134,4,'Vox Listwa przyp.','szt');"
1;101;kg;0;0;0;Bumakryl mozaikowy TM-5 A;;26.64.10 - 00.90;kg;"insert into stany_mag (1,101,'kg',0,0,0,'Bumakryl mozaikowy TM-5 A','kg');"
1;1010;m2;0;0;0;Vox Pianka poliuretanowa;;;m2;"insert into stany_mag (1,1010,'m2',0,0,0,'Vox Pianka poliuretanowa','m2');"
1;1011;szt;6;0;8,4;Vox £¹cznik listwy;;;szt;"insert into stany_mag (1,1011,'szt',6,0,8,4,'Vox £¹cznik listwy','szt');"
1;1012;szt;34;0;47,6;Vox Naro¿nik wew,zew.;;;szt;"insert into stany_mag (1,1012,'szt',34,0,47,6,'Vox Naro¿nik wew,zew.','szt');"
1;1013;szt;9;0;12,6;Vox Zaœlepka;;;szt;"insert into stany_mag (1,1013,'szt',9,0,12,6,'Vox Zaœlepka','szt');"
1;1014;szt;0;0;0;Kielnia trapez  nierdzewna 150;;;szt;"insert into stany_mag (1,1014,'szt',0,0,0,'Kielnia trapez  nierdzewna 150','szt');"
1;1015;szt;0;0;0;£ata murarska 200;;;szt;"insert into stany_mag (1,1015,'szt',0,0,0,'£ata murarska 200','szt');"
1;1016;szt;28;0;229,04;Listwa do doc.U-103;;28.11.23-76.39;szt;"insert into stany_mag (1,1016,'szt',28,0,229,04,'Listwa do doc.U-103','szt');"
1;1017;szt;16;0;94,08;Listwa do doc. U-53;;28.11.23-76.39;szt;"insert into stany_mag (1,1017,'szt',16,0,94,08,'Listwa do doc. U-53','szt');"
1;1018;szt;25;0;419,75;P³yta GKF Ogieñ;;26.62.10-50.10;szt;"insert into stany_mag (1,1018,'szt',25,0,419,75,'P³yta GKF Ogieñ','szt');"
1;1019;m3;0;0;0;P³yta SILVER #140;;25.21.41-20.00;m3;"insert into stany_mag (1,1019,'m3',0,0,0,'P³yta SILVER #140','m3');"
1;102;m3;0;0;0;P³yty  EPS 70  040 # 10;;25.21.41 - 2;m3;"insert into stany_mag (1,102,'m3',0,0,0,'P³yty  EPS 70  040 # 10','m3');"
1;1020;m;0;0;0;Gamrat Rynna dachowa -mag.;;;m;"insert into stany_mag (1,1020,'m',0,0,0,'Gamrat Rynna dachowa -mag.','m');"
1;1021;szt;0;0;0;Gamrat Denko 125-mag.;;;szt;"insert into stany_mag (1,1021,'szt',0,0,0,'Gamrat Denko 125-mag.','szt');"
1;1022;szt;0;0;0;Gamrat Uchwyt ryn. 125-mag.;;;szt;"insert into stany_mag (1,1022,'szt',0,0,0,'Gamrat Uchwyt ryn. 125-mag.','szt');"
1;1023;szt;0;0;0;Gamrat Z³¹czka Rynny 125-mag.;;;szt;"insert into stany_mag (1,1023,'szt',0,0,0,'Gamrat Z³¹czka Rynny 125-mag.','szt');"
1;1024;m;0;0;0;Gamrat Rura spustowa 125-mag.;;;m;"insert into stany_mag (1,1024,'m',0,0,0,'Gamrat Rura spustowa 125-mag.','m');"
1;1025;szt;0;0;0;Gamrat Lej Spustowy 125-mag.;;;szt;"insert into stany_mag (1,1025,'szt',0,0,0,'Gamrat Lej Spustowy 125-mag.','szt');"
1;1026;szt;0;0;0;Gamrat Kolanko Rury 110-mag.;;;szt;"insert into stany_mag (1,1026,'szt',0,0,0,'Gamrat Kolanko Rury 110-mag.','szt');"
1;1027;szt;0;0;0;Gamrat Obejma Rury 110-mag.;;;szt;"insert into stany_mag (1,1027,'szt',0,0,0,'Gamrat Obejma Rury 110-mag.','szt');"
1;1028;szt;0;0;0;Gamrat Hak Obejmy-mag.;;;szt;"insert into stany_mag (1,1028,'szt',0,0,0,'Gamrat Hak Obejmy-mag.','szt');"
1;1029;szt;0;0;0;Gamrat Naro¿nik 125-mag.;;;szt;"insert into stany_mag (1,1029,'szt',0,0,0,'Gamrat Naro¿nik 125-mag.','szt');"
1;1030;szt;0;0;0;L15 Kominek;;28.11.10-50.10;szt;"insert into stany_mag (1,1030,'szt',0,0,0,'L15 Kominek','szt');"
1;1031;szt;0;0;0;L15 Podst. kominka;;28.11.10-50.10;szt;"insert into stany_mag (1,1031,'szt',0,0,0,'L15 Podst. kominka','szt');"
1;1032;szt;0;0;0;L15 Rura przy³¹cza PCV 120;;;szt;"insert into stany_mag (1,1032,'szt',0,0,0,'L15 Rura przy³¹cza PCV 120','szt');"
1;1033;szt;0;0;0;Pustak Unipor 115x373x238;;20.40.11-13.82;szt;"insert into stany_mag (1,1033,'szt',0,0,0,'Pustak Unipor 115x373x238','szt');"
1;1034;szt;0;0;0;KMK G³adz Gipsowa 5 kg;;26.53.10-00.10;szt;"insert into stany_mag (1,1034,'szt',0,0,0,'KMK G³adz Gipsowa 5 kg','szt');"
1;1035;szt;0;0;0;KMK G³adz Gipsowa 20 kg;;26.53.10-00.10;szt;"insert into stany_mag (1,1035,'szt',0,0,0,'KMK G³adz Gipsowa 20 kg','szt');"
1;1036;szt;0;0;0;KMK Gips Szpachlowy 20 kg;;26.53.10-00.10;szt;"insert into stany_mag (1,1036,'szt',0,0,0,'KMK Gips Szpachlowy 20 kg','szt');"
1;1037;szt;0;0;0;GHB W³az Kominiarczyk 10x10 wys15;;2682125319;szt;"insert into stany_mag (1,1037,'szt',0,0,0,'GHB W³az Kominiarczyk 10x10 wys15','szt');"
1;1038;szt;0;0;0;Taœma malarska 19mmx25m;;;szt;"insert into stany_mag (1,1038,'szt',0,0,0,'Taœma malarska 19mmx25m','szt');"
1;1039;szt;123;0;738;Okapnik szkl.35;;;szt;"insert into stany_mag (1,1039,'szt',123,0,738,'Okapnik szkl.35','szt');"
1;104;szt.;0;0;0;P³yta G/K Wodoodporna  12,5/1200/2600;;26.62.10;szt.;"insert into stany_mag (1,104,'szt.',0,0,0,'P³yta G/K Wodoodporna  12,5/1200/2600','szt.');"
1;1040;szt;10;0;37,5;Okapnik szkl.30;;;szt;"insert into stany_mag (1,1040,'szt',10,0,37,5,'Okapnik szkl.30','szt');"
1;1041;szt;0;0;0;Dachówka  Zam.Pocz. G¹sior nr.11;;28.11.10-50.10;szt;"insert into stany_mag (1,1041,'szt',0,0,0,'Dachówka  Zam.Pocz. G¹sior nr.11','szt');"
1;1042;szt;0;0;0;Dachówka  Zam. Pocz. P³ytka nr.11;;28.11.10-50.10;szt;"insert into stany_mag (1,1042,'szt',0,0,0,'Dachówka  Zam. Pocz. P³ytka nr.11','szt');"
1;1043;szt;5;0;132,25;"Collage BEToFLEX ""P"" 5l";;;szt;"insert into stany_mag (1,1043,'szt',5,0,132,25,'Collage BEToFLEX ""P"" 5l','szt');"
1;1044;szt;8;0;46,4;"Collage BEToFLEX ""P"" 1l";;;szt;"insert into stany_mag (1,1044,'szt',8,0,46,4,'Collage BEToFLEX ""P"" 1l','szt');"
1;1045;szt;0;0;0;Taœma malarska 30mmx25m;;;szt;"insert into stany_mag (1,1045,'szt',0,0,0,'Taœma malarska 30mmx25m','szt');"
1;1046;szt;0;0;0;Amst. Profil Prelude G³ówny 3,6m;;28.11.10;szt;"insert into stany_mag (1,1046,'szt',0,0,0,'Amst. Profil Prelude G³ówny 3,6m','szt');"
1;1047;szt;0;0;0;Amst. Profil Prelude pop. 0,6m;;28.11.10;szt;"insert into stany_mag (1,1047,'szt',0,0,0,'Amst. Profil Prelude pop. 0,6m','szt');"
