unique_identifier,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,l0,l1,l2,l3,l4,level,segment,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,lcm_or_aut,lcm_max,lcm_mid,lcm_min,lcm_min_Y1,lcm_min_Y2,lcm_min_Y3,lcm_mid_Y1,lcm_mid_Y2,lcm_mid_Y3,lcm_max_Y1,lcm_max_Y2,lcm_max_Y3,autorlcm_min_Y1,autorlcm_min_Y2,autorlcm_min_Y3,autorlcm_mid_Y1,autorlcm_mid_Y2,autorlcm_mid_Y3,autorlcm_max_Y1,autorlcm_max_Y2,autorlcm_max_Y3,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,driver_group,baseline_mid,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3
1,4,4,0.25,0.6,0.99,CEO,All,Board Secretary,N/A,N/A,2,Support,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,0,0,0,0,NA,NA,NA,NA,NA,NA,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,conrev,4,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
2,4,4,0.25,0.6,0.99,CEO,All,Board Secretary,Governance and Studies,N/A,3,Support,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,0,0,0,0,NA,NA,NA,NA,NA,NA,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,entrev,4,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
3,3,3,0.25,0.6,0.99,CEO,All,Board Secretary,Technical Assistance,N/A,3,Support,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,0,0,0,0,NA,NA,NA,NA,NA,NA,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,stcsub,3,1,2,3,4,1,2,3,4,1,2,3,4
4,16,16,0.25,0.6,0.99,CEO,Group CEO,N/A,N/A,N/A,1,Critical,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,0,0,0,0,NA,NA,NA,NA,NA,NA,1.02,1.02,1.02,1.05,1.05,1.05,1.07,1.07,1.07,0.94,0.94,0.94,0.89,0.89,0.89,0.84,0.84,0.84,conrev,16,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
178,3,4,0.25,0.6,0.99,Consumer,N/A,N/A,N/A,N/A,0,NA,1,1,1,1,1,1,1,0.831128503,0.733155769,0.48,1,1,1,1,1,1,1,1,3,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.27,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.65,headcount,3.5,1,1.318391569,1.58704149,3.216166164,1,1.318391569,1.58704149,3.905861087,1,1.318391569,1.58704149,1.85569141
179,8,8,0.25,0.6,0.99,Consumer,All,Planning & Performance,N/A,N/A,2,NA,1,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,entrev,8,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
1557,17,18,0.25,0.6,0.99,Consumer,All,Planning & Performance,Contracts & Agreements,Contracts & Agreement,4,Core,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,headcount,17.5,1,1.318391569,1.58704149,3.216166164,1,1.318391569,1.58704149,3.905861087,1,1.318391569,1.58704149,1.85569141
180,3,3,0.25,0.6,0.99,Consumer,All,Planning & Performance,Financial Control & Operations,N/A,3,NA,1,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,entrev,3,1,1.2,1.3,1.4,1,1.2,1.3,8.333333333,1,1.2,1.3,1.4
181,44,48,0.25,0.6,0.99,Consumer,All,Planning & Performance,Financial Control & Operations,Districts Operations Control (D),4,Support,1,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,stcsub,46,1,2,3,4,1,2,3,4,1,2,3,4
182,8,8,0.25,0.6,0.99,Consumer,All,Planning & Performance,Financial Control & Operations,Financial Control,4,Support,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,whorev,8,1,1.066666667,1.1,6.666666667,1,1.066666667,1.1,1.133333333,1,1.066666667,1.1,1.133333333
183,9,9,0.25,0.6,0.99,Consumer,All,Planning & Performance,Financial Control & Operations,Maslahi and User Administration,4,Core,0.18,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.82,0.892,0.964,1,0.964,0.964,0.928,0.928,0.892,0.928,0.892,0.82,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,whorev,9,1,1.066666667,1.1,6.666666667,1,1.066666667,1.1,1.133333333,1,1.066666667,1.1,1.133333333
184,3,3,0.25,0.6,0.99,Consumer,All,Planning & Performance,Financial Control & Operations,Profitability Management,4,Support,0.19,1,0.99,0.99,0.98,0.98,0.97,0.831128503,0.733155769,0,1,1,1,1,1,1,1,1,4,aut,0.81,0.886,0.962,1,0.962,0.962,0.924,0.924,0.886,0.924,0.886,0.81,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1.00E+04,2707,0,0,0,0,NA,NA,0,NA,NA,NA,1.01,1.01,1.05,1.02,1.02,1.05,1.03,1.03,1.08,0.95,0.95,0.95,0.89,0.89,0.91,0.85,0.85,0.5,conrev,3,1,1.1,1.15,1.2,1,1.1,1.15,1.2,1,1.1,1.15,1.2
