unique_identifier,l0,l1,l2,l3,l4,level,segment,fte,contractor,fte_cost_avg,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,tenure_0-4,tenure_5-9,tenure_10-14,tenure_15-19,tenure_20-24,tenure_25+,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60+,degree_yes,degree_no,,driver_group,driver,year,min,mid,max
1,CEO,None,Board Secretary,,,2,Support,4,0,32404.57667,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,4,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1,0,0,2,1,0,0,0,1,1,0,1,1,0,0,4,0,,conrev,entrev,0,2840,2840,2840
2,CEO,None,Board Secretary,Governance and Studies,,3,Support,4,0,34052.07,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,4,4,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0,0,0,4,0,0,0,0,0,1,2,0,1,0,0,4,0,,entrev,entrev,1,3062,3062,3062
3,CEO,None,Board Secretary,Technical Assistance,,3,Support,2,0,29257.17,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,,stcsub,entrev,2,3270,3270,3270
4,CEO,Group CEO,,,,1,Critical,3,13,31904.60556,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,16,16,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,2,,conrev,entrev,3,3424,3424,3424
178,Consumer,,,,,0,Management,6,0,27248.42497,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,4,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,1,0,1,2,1,0,0,0,0,0,3,2,1,0,4,2,,headcount,conrev,0,7664,7664,7664
179,Consumer,None,Planning & Performance,,,2,Management,8,0,38472.97571,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,8,8,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,2,3,0,3,0,0,0,1,2,2,3,0,0,0,6,2,,entrev,conrev,1,6941,6941,6941
1557,Consumer,None,Planning & Performance,Contracts & Agreements,Contracts & Agreement,4,Core,18,0,30501.77454,0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,17,18,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,headcount,conrev,2,6887,6887,6887
180,Consumer,None,Planning & Performance,Financial Control & Operations,,3,Management,3,0,38422.31333,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,3,0,,entrev,conrev,3,6833,6833,6833
181,Consumer,None,Planning & Performance,Financial Control & Operations,Districts Operations Control (D),4,Support,48,0,33650.34,,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,44,48,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,stcsub,whorev,0,1016,1016,1016
182,Consumer,None,Planning & Performance,Financial Control & Operations,Financial Control,4,Support,8,0,21934.465,0.192,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,8,8,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,0,,,,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,0,2,2,2,1,0,1,0,2,2,1,2,0,0,6,2,,whorev,whorev,1,1030,1030,1030
