Source_nam,1hr AADT,24hr AADT,1hr HGV,24hr HGV,1hr av speed,24hr av speed,%HDV,%LDV
19,262.5,6300,62.5,1500,10,10,23.8,76.2
1,1016.041667,24385,205.6666667,4936,8.6,8.6,20.2,79.8
29,287.5,6900,43.75,1050,48,48,15.2,84.8
2,1421.875,34125,281.1666667,6748,21.6,21.6,19.8,80.2
3,1323.625,31767,268.375,6441,41.4,41.4,20.3,79.7
13,1078.25,25878,189.6666667,4552,48,48,17.6,82.4
15,64.125,1539,14.45833333,347,11.2,11.2,22.5,77.5
27,823.125,19755,140.4583333,3371,48,48,17.1,82.9
14,57.625,1383,14.45833333,347,27.5,27.5,25.1,74.9
26,1142.416667,27418,198.8333333,4772,9.3,9.3,17.4,82.6
20,1762.833333,42308,327.875,7869,42.8,42.8,18.6,81.4
4,985.9166667,23662,195.4583333,4691,48,48,19.8,80.2
28,81.04166667,1945,11.375,273,5,5,14,86
5,820.1666667,19684,186.1666667,4468,27,27,22.7,77.3
11,633.625,15207,148.4583333,3563,48,48,23.4,76.6
21,469.375,11265,114.7083333,2753,13.9,13.9,24.4,75.6
24,599.4583333,14387,134.2916667,3223,18.6,18.6,22.4,77.6
23,679.2083333,16301,111.9583333,2687,14.2,14.2,16.5,83.5
22,350.2083333,8405,98.66666667,2368,9.6,9.6,28.2,71.8
6,186.5833333,4478,37.70833333,905,18.4,18.4,20.2,79.8
10,305.75,7338,53.58333333,1286,46,46,17.5,82.5
7,268.5416667,6445,92.45833333,2219,41.9,41.9,34.4,65.6
16,50,1200,26.66666667,640,26.6,26.6,53.3,46.7
25,745.1666667,17884,191.6666667,4600,21.3,21.3,25.7,74.3
17,345.8333333,8300,125,3000,15.2,15.2,36.1,63.9
8,404.4166667,9706,103.25,2478,11.9,11.9,25.5,74.5
12,484.125,11619,80.58333333,1934,30,30,16.6,83.4
9,413.1666667,9916,66.125,1587,3.7,3.7,16,84
