Source_Name,Pollutant_Name,All Vehicle (g/km),All LDV (g/km),All HDV (g/km),Petrol Cars (g/km),Diesel Cars (g/km),Taxi (g/km),Petrol LGV (g/km),Diesel LGV (g/km),Rigid HGV (g/km),Artic HGV (g/km),Buses/Coaches (g/km),Motorcycles (g/km),Full Hybrid Petrol Cars (g/km),Plug-In Hybrid Petrol Cars (g/km),Full Hybrid Diesel Cars (g/km),Battery EV Cars (g/km),FCEV Cars (g/km),E85 Bioethanol Cars (g/km),LPG Cars (g/km),Full Hybrid Petrol LGV (g/km),Plug-In Hybrid Petrol LGV (g/km),Battery EV LGV (g/km),FCEV LGV (g/km),E85 Bioethanol LGV (g/km),LPG LGV (g/km),B100 Rigid HGV (g/km),B100 Artic HGV (g/km),B100 Bus (g/km),CNG Bus (g/km),Biomethane Bus (g/km),Biogas Bus (g/km),Hybrid Bus (g/km),FCEV Bus (g/km),B100 Coach (g/km),All LDV (%),All HDV (%),Petrol Cars (%),Diesel Cars (%),Taxi (%),Petrol LGV (%),Diesel LGV (%),Rigid HGV (%),Artic HGV (%),Buses/Coaches (%),Motorcycles (%),Full Hybrid Petrol Cars (%),Plug-In Hybrid Petrol Cars (%),Full Hybrid Diesel Cars (%),Battery EV Cars (%),FCEV Cars (%),E85 Bioethanol Cars (%),LPG Cars (%),Full Hybrid Petrol LGV (%),Plug-In Hybrid Petrol LGV (%),Battery EV LGV (%),FCEV LGV (%),E85 Bioethanol LGV (%),LPG LGV (%),B100 Rigid HGV (%),B100 Artic HGV (%),B100 Bus (%),CNG Bus (%),Biomethane Bus (%),Biogas Bus (%),Hybrid Bus (%),FCEV Bus (%),B100 Coach (%)
19,NOx,21050.0,2808.4,18241.6,368.1,1717.6,0.0,9.2,701.0,6648.7,2499.1,9052.6,10.1,1.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,40.8,0.0,0.0,0.1,0.9,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,NOx,71428.5,11401.4,60027.1,1512.3,6959.5,0.0,37.4,2840.2,21878.7,8223.7,29789.0,42.4,4.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,134.3,0.0,0.0,0.2,0.8,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NOx,6326.1,2025.5,4300.6,324.9,1136.0,0.0,11.8,540.1,1734.1,525.2,2033.6,11.0,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,7.5,0.0,0.0,0.3,0.7,0.1,0.2,0.0,0.0,0.1,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOx,63769.9,12813.3,50956.6,1889.0,7536.8,0.0,52.9,3276.5,19701.3,7004.8,24142.8,47.1,4.7,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,105.9,0.0,0.0,0.2,0.8,0.0,0.1,0.0,0.0,0.1,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NOx,38703.0,9262.2,29440.8,1461.0,5251.6,0.0,50.2,2447.4,11755.1,3703.2,13926.8,44.2,3.5,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,54.0,0.0,0.0,0.2,0.8,0.0,0.1,0.0,0.0,0.1,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NOx,26027.9,7383.9,18644.0,1184.4,4141.2,0.0,43.0,1968.9,7517.6,2276.7,8816.1,40.2,2.8,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,32.5,0.0,0.0,0.3,0.7,0.0,0.2,0.0,0.0,0.1,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,NOx,4877.7,677.2,4200.5,90.5,411.9,0.0,2.3,169.5,1538.1,578.1,2074.9,2.4,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,9.3,0.0,0.0,0.1,0.9,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NOx,19479.7,5672.8,13806.9,910.0,3181.5,0.0,33.0,1512.6,5567.2,1686.0,6528.8,30.9,2.1,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,24.1,0.0,0.0,0.3,0.7,0.0,0.2,0.0,0.0,0.1,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,NOx,2616.6,444.7,2171.9,67.2,258.4,0.0,2.0,115.0,849.4,291.4,1026.6,1.7,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.4,0.0,0.0,0.2,0.8,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,NOx,71295.2,13262.5,58032.7,1748.7,8103.5,0.0,43.5,3307.1,21151.7,7950.5,28799.3,48.6,4.6,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,129.9,0.0,0.0,0.2,0.8,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
