Source_nam,time,Emission gkm,Petrol Emission,Diesel Emission
1,1,6891.566265,1094.301596,5036.013905
1,2,3550.191053,563.7295769,2594.303069
1,3,3371.619725,535.3745003,2463.812023
1,4,4044.72102,642.2552575,2955.680975
1,5,6528.632106,1036.671819,4770.799671
1,6,19289.64432,3062.97404,14095.91279
1,7,65527.38514,10404.99639,47884.15435
1,8,132216.6511,20994.48613,96617.35345
1,9,114337.13,18155.42346,83551.88857
1,10,83586.50382,13272.57709,61080.86019
1,11,73179.19164,11620.01541,53475.71401
1,12,74370.65922,11809.20678,54346.37927
1,13,79805.84135,12672.2513,58318.14007
1,14,82657.36091,13125.03986,60401.88876
1,15,87924.55372,13961.4096,64250.89132
1,16,103355.1542,16411.61179,75526.80679
1,17,135552.6908,21524.21092,99055.16533
1,18,129202.5546,20515.8822,94414.80157
1,19,90648.91941,14394.0076,66241.72228
1,20,52362.4206,8314.55118,38263.85296
1,21,34951.36923,5549.876131,25540.72248
1,22,26255.69299,4169.102587,19186.35473
1,23,19735.00672,3133.692475,14421.36148
1,24,12683.7123,2014.027882,9268.62618
2,1,6152.642046,1366.936304,5453.774645
2,2,3169.534168,704.1773744,2809.512556
2,3,3010.109529,668.7579034,2668.196671
2,4,3611.039879,802.2669724,3200.868437
2,5,5828.62224,1294.948623,5166.559658
2,6,17221.37931,3826.084537,15265.23421
2,7,58501.43923,12997.30108,51856.36732
2,8,118040.1807,26225.06024,104632.2116
2,9,102077.729,22678.67244,90482.90573
2,10,74624.23172,16579.3119,66147.80119
2,11,65332.80739,14515.03039,57911.77282
2,12,66396.52401,14751.35697,58854.6638
2,13,71248.93764,15829.42072,63155.90061
2,14,73794.71293,16395.0172,65412.50593
2,15,78497.14931,17439.76041,69580.80113
2,16,92273.25735,20500.40689,81792.10615
2,17,121018.5251,26886.76087,107272.2513
2,18,115349.2601,25627.21676,102246.9478
2,19,80929.40437,17980.13603,71736.78076
2,20,46748.0422,10386.04157,41438.01725
2,21,31203.83025,6932.574345,27659.44402
2,22,23440.51765,5207.794363,20777.95195
2,23,17618.98927,3914.421788,15617.68038
2,24,11323.74537,2515.803541,10037.50176
3,1,3734.146671,1057.199286,3800.165221
3,2,1923.646033,544.6163183,1957.655495
3,3,1826.888415,517.2226209,1859.187233
3,4,2191.603614,620.4795846,2230.350483
3,5,3537.493352,1001.523447,3600.035132
3,6,10451.958,2959.123865,10636.74536
3,7,35505.5524,10052.21485,36133.2795
3,8,71640.66175,20282.6678,72907.24634
3,9,61952.76909,17539.86359,63048.07475
3,10,45290.75873,12822.57019,46091.48524
3,11,39651.62988,11226.03864,40352.65835
3,12,40297.21821,11408.81547,41009.66047
3,13,43242.23339,12242.59845,44006.7426
3,14,44787.30919,12680.03522,45579.13486
3,15,47641.30053,13488.04783,48483.58389
3,16,56002.2628,15855.17588,56992.36536
3,17,73448.27136,20794.43227,74746.81392
3,18,70007.49475,19820.29095,71245.20545
3,19,49117.47891,13905.97858,49985.86063
3,20,28372.20902,8032.646213,28873.82084
3,21,18938.1534,5361.707509,19272.97405
3,22,14226.46244,4027.749109,14477.98186
3,23,10693.27447,3027.44459,10882.32824
3,24,6872.580229,1945.742241,6994.085307
4,1,2487.485834,762.4230403,2665.692047
4,2,1281.428577,392.7623057,1373.231526
4,3,1216.973904,373.0067248,1304.159249
4,4,1459.927374,447.4728063,1564.518172
4,5,2356.486066,722.2711569,2525.307313
4,6,6962.527116,2134.038723,7461.330195
4,7,23651.87187,7249.380805,25346.31791
4,8,47723.12041,14627.30202,51142.0571
4,9,41269.57215,12649.26708,44226.16956
4,10,30170.24522,9247.284857,32331.67468
4,11,26413.76366,8095.910222,28306.07465
4,12,26843.81956,8227.723848,28766.94023
4,13,28805.62882,8829.025196,30869.29566
4,14,29834.87446,9144.492555,31972.27759
4,15,31736.04859,9727.209023,34009.65391
4,16,37305.66784,11434.31665,39978.2868
4,17,48927.25183,14996.37247,52432.45381
4,18,46635.1932,14293.84855,49976.18959
4,19,32719.3985,10028.60918,35063.45209
4,20,18900.02569,5792.923462,20254.04426
4,21,12615.56988,3866.715949,13519.36315
4,22,9476.897104,2904.70185,10155.83241
4,23,7123.279056,2183.30975,7633.59858
4,24,4578.139925,1403.215774,4906.122891
5,1,3371.383087,718.0708903,2767.432721
5,2,1736.768336,369.9142912,1425.643244
5,3,1649.410494,351.3079443,1353.934707
5,4,1978.694467,421.4421384,1624.230671
5,5,3193.834176,680.2547474,2621.689964
5,6,9436.574811,2009.896087,7746.104561
5,7,32056.27132,6827.665291,26313.70327
5,8,64680.93962,13776.39346,53093.98076
5,9,55934.20299,11913.426,45914.1366
5,10,40890.86783,8709.346019,33565.66807
5,11,35799.56712,7624.949869,29386.42417
5,12,36382.43805,7749.09555,29864.87947
5,13,39041.35192,8315.41762,32047.47487
5,14,40436.32723,8612.533415,33192.55398
5,15,43013.06002,9161.351736,35307.69024
5,16,50561.77442,10769.15243,41504.12616
5,17,66312.9442,14123.99411,54433.62765
5,18,63206.43096,13462.33785,51883.61592
5,19,44345.83112,9445.218657,36401.70842
5,20,25615.91551,5455.933895,21027.07433
5,21,17098.35625,3641.77893,14035.35265
5,22,12844.395,2735.727717,10543.44704
5,23,9654.44796,2056.30089,7924.947862
5,24,6204.925192,1321.587029,5093.373421
6,1,916.7461648,184.4300358,756.2323879
6,2,472.2618788,95.00915145,389.5731905
6,3,448.5075429,90.23027896,369.9780192
6,4,538.0464091,108.2436145,443.8394579
6,5,868.467082,174.7173003,716.4065261
6,6,2565.992515,516.2236937,2116.710952
6,7,8716.738214,1753.624288,7190.517951
6,8,17588.03488,3538.342485,14508.5326
6,9,15209.6231,3059.856087,12546.55873
6,10,11119.04085,2236.917023,9172.199606
