"","id","year","all","date","web","nazwa","miasto","kraj","twitter","city","state","wiki","lon","lat"
"1"," Australia",2018," * July 10-13: [useR! 2018](https://user2018.r-project.org/). Brisbane, Australia."," July 10-13","https://user2018.r-project.org/","useR! 2018"," Brisbane"," Australia",""," Australia",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Map_of_Brisbane_free_and_printable.svg/1200px-Map_of_Brisbane_free_and_printable.svg.png",153.0234991,-27.4689682
"2"," Australia",2017,"  * November 16-17: [Bioconductor Asia](https://www.abacbs.org/conference-workshops#bioc2017-link). Adelaide, Australia."," November 16-17","https://www.abacbs.org/conference-workshops#bioc2017-link","Bioconductor Asia"," Adelaide"," Australia",""," Australia",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Australia_location_map.svg/1200px-Australia_location_map.svg.png",138.599899,-34.9274284
"3"," Belgium",2017,"  * July 4-7: [UseR! 2017](http://www.user2017.brussels/). Brussels, Belgium. [\@UseR_Brussels](https://twitter.com/UseR_Brussels); [Recordings](https://channel9.msdn.com/events/useR-international-R-User-conferences/)"," July 4-7","http://www.user2017.brussels/","UseR! 2017"," Brussels"," Belgium"," [\@UseR_Brussels](https://twitter.com/UseR_Brussels); [Recordings](https://channel9.msdn.com/events/useR-international-R-User-conferences/)"," Belgium",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c6/TE-Collage_Brussels.png",4.351697,50.8465573
"4"," Brazil",2018,"  * May 22: [R Day](http://rday.leg.ufpr.br/). Curitiba, Brazil. [\@LEG_UFPR](https://twitter.com/LEG_UFPR)"," May 22","http://rday.leg.ufpr.br/","R Day"," Curitiba"," Brazil"," [\@LEG_UFPR](https://twitter.com/LEG_UFPR)"," Brazil",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Montage_de_Curitiba.jpg/1200px-Montage_de_Curitiba.jpg",-49.2712724,-25.4295963
"5"," Germany",2017,"  * November 8-9: [R Kenntnis-Tage 2017](http://www.eoda.de/de/R-Kenntnis-Tage.html). Kassel, Germany."," November 8-9","http://www.eoda.de/de/R-Kenntnis-Tage.html","R Kenntnis-Tage 2017"," Kassel"," Germany",""," Germany",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Schlosspark_Wilhelmsh%C3%B6he_001.jpg/1200px-Schlosspark_Wilhelmsh%C3%B6he_001.jpg",9.4762981,51.3090209
"6"," Hungary",2018,"  * May: [The European #rstats Users Meeting](http://2018.erum.io/). Budapest, Hungary. [\@erum2018](https://twitter.com/erum2018)"," May","http://2018.erum.io/","The European #rstats Users Meeting"," Budapest"," Hungary"," [\@erum2018](https://twitter.com/erum2018)"," Hungary",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/The_building_of_the_Hungarian_Parliament_%2810890208584%29.jpg/1200px-The_building_of_the_Hungarian_Parliament_%2810890208584%29.jpg",19.0404707,47.4983815
"7"," Hungary",2016,"  * September: [The first satRday conference](http://budapest.satrdays.org). Budapest, Hungary."," September","http://budapest.satrdays.org","The first satRday conference"," Budapest"," Hungary",""," Hungary",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/The_building_of_the_Hungarian_Parliament_%2810890208584%29.jpg/1200px-The_building_of_the_Hungarian_Parliament_%2810890208584%29.jpg",19.0404707,47.4983815
"8"," Poland",2018," * July 2-5: [WhyR? 2018](http://whyr2018.pl/). Wroc³aw, Poland.  		  "," July 2-5","http://whyr2018.pl/","WhyR? 2018"," Wroc³aw"," Poland","  		  "," Poland",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Wroclaw_-_Ostrow_Tumski.jpg/1200px-Wroclaw_-_Ostrow_Tumski.jpg",16.9781963305126,51.1263106
"9"," Poland",2016,"  * October: [European R users meeting](http://erum.ue.poznan.pl/). Poznan, Poland.[\@erum2016](https://twitter.com/erum2016)"," October","http://erum.ue.poznan.pl/","European R users meeting"," Poznan"," Poland","[\@erum2016](https://twitter.com/erum2016)"," Poland",NA,"https://upload.wikimedia.org/wikipedia/commons/8/84/Collage_of_views_of_Pozna%C5%84%2C_Poland.jpg",16.9197520238885,52.4006522
"10"," Romania",2017,"  * November 6-7: [New Challenges for Statistical Software - The Use of R in Official Statistics](http://www.r-project.ro/conference2017/). Bucharest, Romania."," November 6-7","http://www.r-project.ro/conference2017/","New Challenges for Statistical Software - The Use of R in Official Statistics"," Bucharest"," Romania",""," Romania",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Ateneul_Rom%C3%A2n_1.jpg/1200px-Ateneul_Rom%C3%A2n_1.jpg",26.1027202,44.4361414
