"","id","kraj","all","miasto","web","nazwa","twiter","me","orgn","city","state","wiki","lon","lat","logo"
"1"," Adelaide","Australia","  * Adelaide: [R-Ladies Adelaide](https://www.meetup.com/rladies-adelaide/)"," Adelaide","https://www.meetup.com/rladies-adelaide/","R-Ladies Adelaide",NA,"143","Maria D."," Adelaide",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Australia_location_map.svg/1200px-Australia_location_map.svg.png",138.599899,-34.9274284,"https://secure.meetupstatic.com/photos/event/5/4/8/e/600_463401646.jpeg"
"2"," Barcelona","Spain","  * Barcelona: [Barcelona](https://www.meetup.com/es-ES/rladies-barcelona/); [\@RLadiesBCN](https://twitter.com/rladiesbcn)"," Barcelona","https://www.meetup.com/es-ES/rladies-barcelona/","Barcelona",NA,"305","Chiin T."," Barcelona",NA,"https://upload.wikimedia.org/wikipedia/commons/d/dc/CollageBarcelona.JPG",2.1774322,41.3828939,"https://secure.meetupstatic.com/photos/event/8/6/0/5/600_456274309.jpeg"
"3"," Berlin","Germany","  * Berlin: [R-Ladies Berlin](https://www.meetup.com/rladies-berlin/); [\@RLadiesBerlin](https://twitter.com/RLadiesBerlin)."," Berlin","https://www.meetup.com/rladies-berlin/","R-Ladies Berlin",NA,"273","Christin Z."," Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Siegessaeule_Aussicht_10-13_img4_Tiergarten.jpg/1200px-Siegessaeule_Aussicht_10-13_img4_Tiergarten.jpg",13.3888599,52.5170365,"https://secure.meetupstatic.com/photos/event/c/5/a/7/600_459410599.jpeg"
"4"," Brussels","Belgium"," * Brussels: [R-Ladies Brussels](https://www.meetup.com/R-Ladies-Brussels/members/)"," Brussels","https://www.meetup.com/R-Ladies-Brussels/","R-Ladies Brussels",NA,"81","Marlene M."," Brussels",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c6/TE-Collage_Brussels.png",4.351697,50.8465573,"https://secure.meetupstatic.com/photos/event/e/1/d/e/600_463737822.jpeg"
"5"," Buenos Aires","Argentina","  * Buenos Aires: [R-Ladies Buenos Aires](https://www.meetup.com/rladies-buenos-aires/)"," Buenos Aires","https://www.meetup.com/rladies-buenos-aires/","R-Ladies Buenos Aires",NA,"294","Göknur"," Buenos Aires",NA,"https://upload.wikimedia.org/wikipedia/commons/a/a5/Buenos_Aires_City_Collage.png",-58.437076,-34.6075616,"https://secure.meetupstatic.com/photos/event/9/0/b/c/600_459577052.jpeg"
"6"," Cape Town","South Africa","  * Cape Town: [R-Ladies Cape Town](https://www.meetup.com/R-Ladies-Cape-Town/)"," Cape Town","https://www.meetup.com/R-Ladies-Cape-Town/","R-Ladies Cape Town",NA,"158","Ágnes S."," Cape Town",NA,"https://upload.wikimedia.org/wikipedia/commons/5/5d/Cape_Town_Montage_2015.png",18.417396,-33.928992,"https://secure.meetupstatic.com/photos/event/a/c/6/b/600_462164139.jpeg"
"7"," Dublin","Ireland","  * Dublin: [R-Ladies Dublin](https://www.meetup.com/R-Ladies-Dublin/)"," Dublin","https://www.meetup.com/R-Ladies-Dublin/","R-Ladies Dublin",NA,"330","Christin Z."," Dublin",NA,"https://upload.wikimedia.org/wikipedia/commons/c/cf/DublinMontage.jpg",-6.2602732,53.3497645,"https://secure.meetupstatic.com/photos/event/2/e/0/7/600_466091783.jpeg"
"8"," Istanbul","Turkey","  * Istanbul: [R-Ladies Istanbul](https://www.meetup.com/R-Ladies-Istanbul/)"," Istanbul","https://www.meetup.com/R-Ladies-Istanbul/","R-Ladies Istanbul",NA,"1,015","Hazel K."," Istanbul",NA,"https://upload.wikimedia.org/wikipedia/commons/b/ba/Istanbul_collage_5j.jpg",28.9651646,41.0096334,"https://secure.meetupstatic.com/photos/event/9/3/e/0/600_454657856.jpeg"
"9"," Izmir","Turkey","  * Izmir:[R-Ladies IzmiR](https://www.meetup.com/R-Ladies-%C4%B0zmiR/)"," Izmir","https://www.meetup.com/R-Ladies-%C4%B0zmiR/","R-Ladies IzmiR",NA,"388","Göknur"," Izmir",NA,"https://upload.wikimedia.org/wikipedia/commons/9/95/%C4%B0zmirrr.jpg",27.144474,38.4153421,"https://secure.meetupstatic.com/photos/event/d/d/8/1/600_458576705.jpeg"
"10"," Lima","Peru","  * Lima: [R-Ladies Lima](https://twitter.com/RLadiesLima)"," Lima","https://twitter.com/RLadiesLima","R-Ladies Lima",NA,NA,NA," Lima",NA,"https://upload.wikimedia.org/wikipedia/commons/2/2c/Lima2017.png",-77.0365256,-12.0621065,"https://pbs.twimg.com/profile_images/857221236358868992/82hWWMvF_400x400.jpg"
