"","id","kraj","all","miasto","web","nazwa","id1","members","organizer","city","state","wiki","logo","lon","lat"
"1","  Berlin","Germany ","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group","Germany","1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg","https://secure.meetupstatic.com/photos/event/a/c/7/7/600_468704151.jpeg",13.3888599,52.5170365
"2","  Bochum","Germany ","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr","Germany",NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg","https:NAg",7.2196635,51.4818111
"3","  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest","France","310","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG","https://secure.meetupstatic.com/photos/event/1/b/e/4/600_461227140.jpeg",-4.4860088,48.3905283
"4","  Dresden","Germany ","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden","Germany",NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG","https:NAg",13.7381437,51.0493286
"5","  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble","France",NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png","https:NAg",5.7274722,45.182151
"6","  Guadalajara","Mexico","  *  Guadalajara: [Guadalajara R Users group Meetup](https://www.meetup.com/Guadalajara-R-Users-Group-Meetup/)","  Guadalajara","https://www.meetup.com/Guadalajara-R-Users-Group-Meetup/","Guadalajara R Users group Meetup","Mexico","131","Héctor N.","  Guadalajara",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Guadalajara%2C_M%C3%A9xico.jpg/1200px-Guadalajara%2C_M%C3%A9xico.jpg","https://secure.meetupstatic.com/photos/event/c/1/9/2/600_458269554.jpeg",-103.3469982,20.676143
"7","  Hamburg","Germany ","  *  Hamburg: [Hamburg R User Group](https://www.meetup.com/Hamburg-R-User-Group/)","  Hamburg","https://www.meetup.com/Hamburg-R-User-Group/","Hamburg R User Group","Germany","573","Christian M.","  Hamburg",NA,"https://upload.wikimedia.org/wikipedia/commons/d/df/00_9920_Hamburg_St._Michaelis.jpg","https://secure.meetupstatic.com/photos/event/c/4/c/5/600_467510373.jpeg",10.0099133,53.5437641
"8","  Hannover","Germany ","  *  Hannover: [Hannover R User Group](https://www.meetup.com/de-DE/Hannover-R-User-Group/) ","  Hannover","https://www.meetup.com/de-DE/Hannover-R-User-Group/","Hannover R User Group","Germany","423","Sven P.","  Hannover",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Hannover_in_H.svg/1200px-Hannover_in_H.svg.png","https://secure.meetupstatic.com/photos/event/d/4/d/2/600_464694482.jpeg",9.7385532,52.3744779
"9","  Jouy-en-Josas","France","  *  Jouy-en-Josas: [R4Ciam](http://ciam.inra.fr/r4ciam/)","  Jouy-en-Josas","http://ciam.inra.fr/r4ciam/","R4Ciam","France",NA,NA,"  Jouy-en-Josas",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Jouy-en-Josas_Ch%C3%A2teau_HEC-CRC.jpg/1200px-Jouy-en-Josas_Ch%C3%A2teau_HEC-CRC.jpg","https:NAg",2.1678072,48.7674622
"10","  Kassel","Germany ","  *  Kassel: [Kasseler useR Group](https://www.meetup.com/Kassel-useR-Group/)","  Kassel","https://www.meetup.com/Kassel-useR-Group/","Kasseler useR Group","Germany","95","Oliver B.","  Kassel",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Schlosspark_Wilhelmsh%C3%B6he_001.jpg/1200px-Schlosspark_Wilhelmsh%C3%B6he_001.jpg","https://secure.meetupstatic.com/photos/event/4/c/9/6/600_15439606.jpeg",9.4762981,51.3090209
