"","slugScore","slugTeamLeading","idGame","numberEvent","numberEventMessageType","numberEventActionType","numberPeriod","timeStringWC","timeQuarter","descriptionPlayHome","descriptionPlayVisitor","minuteGame","timeRemaining","minuteRemainingQuarter","secondsRemainingQuarter","scoreHome","scoreAway","marginScore"
"1",NA,"Home",21700002,2,12,0,1,"11:02 PM","12:00",NA,NA,0,48,12,0,NA,NA,NA
"2",NA,"Home",21700002,4,10,0,1,"11:02 PM","12:00","Jump Ball Pachulia vs. Capela: Tip to Anderson",NA,0,48,12,0,NA,NA,NA
"3","2 - 0","Away",21700002,7,1,6,1,"11:03 PM","11:47",NA,"Harden 2' Driving Layup (2 PTS)",0.216666666666667,47.7833333333333,11,47,2,0,-2
"4",NA,"Home",21700002,8,2,1,1,"11:03 PM","11:27","MISS Green 25' 3PT Jump Shot",NA,0.55,47.45,11,27,NA,NA,NA
"5",NA,"Home",21700002,9,4,0,1,"11:03 PM","11:23",NA,"Capela REBOUND (Off:0 Def:1)",0.616666666666667,47.3833333333333,11,23,NA,NA,NA
"6",NA,"Home",21700002,10,2,2,1,"11:03 PM","11:13",NA,"MISS Harden 10' Running Jump Shot",0.783333333333333,47.2166666666667,11,13,NA,NA,NA
"7",NA,"Home",21700002,11,4,0,1,"11:03 PM","11:06","Durant REBOUND (Off:0 Def:1)",NA,0.9,47.1,11,6,NA,NA,NA
"8",NA,"Home",21700002,12,6,2,1,"11:03 PM","11:05",NA,"Anderson S.FOUL (P1.T1) (S.Foster)",0.916666666666667,47.0833333333333,11,5,NA,NA,NA
"9","2 - 1","Away",21700002,14,3,11,1,"11:04 PM","11:05","Pachulia Free Throw 1 of 2 (1 PTS)",NA,0.916666666666667,47.0833333333333,11,5,2,1,-1
"10","2 - 2","Home",21700002,15,3,12,1,"11:04 PM","11:05","Pachulia Free Throw 2 of 2 (2 PTS)",NA,0.916666666666667,47.0833333333333,11,5,2,2,NA
"11",NA,"Home",21700002,16,5,1,1,"11:04 PM","11:03","Thompson STEAL (1 STL)","Harden Bad Pass Turnover (P1.T1)",0.95,47.05,11,3,NA,NA,NA
"12",NA,"Home",21700002,18,2,1,1,"11:04 PM","10:47","MISS Durant 25' 3PT Jump Shot",NA,1.21666666666667,46.7833333333333,10,47,NA,NA,NA
"13",NA,"Home",21700002,19,4,0,1,"11:04 PM","10:41",NA,"Paul REBOUND (Off:0 Def:1)",1.31666666666667,46.6833333333333,10,41,NA,NA,NA
"14",NA,"Home",21700002,20,2,1,1,"11:04 PM","10:39",NA,"MISS Paul 24' 3PT Jump Shot",1.35,46.65,10,39,NA,NA,NA
"15",NA,"Home",21700002,21,4,0,1,"11:05 PM","10:33","Pachulia REBOUND (Off:0 Def:1)",NA,1.45,46.55,10,33,NA,NA,NA
"16","2 - 5","Home",21700002,22,1,1,1,"11:05 PM","10:30","Thompson  3PT Jump Shot (3 PTS) (Green 1 AST)",NA,1.5,46.5,10,30,2,5,3
"17","5 - 5","Home",21700002,24,1,63,1,"11:05 PM","10:16",NA,"Ariza 25' 3PT Fadeaway Jumper (3 PTS) (Paul 1 AST)",1.73333333333333,46.2666666666667,10,16,5,5,NA
"18","5 - 7","Home",21700002,26,1,1,1,"11:05 PM","10:05","Thompson 22' Jump Shot (5 PTS) (Green 2 AST)",NA,1.91666666666667,46.0833333333333,10,5,5,7,2
"19",NA,"Home",21700002,28,2,1,1,"11:05 PM","9:51",NA,"MISS Harden 25' 3PT Jump Shot",2.15,45.85,9,51,NA,NA,NA
"20",NA,"Home",21700002,29,4,0,1,"11:05 PM","9:47","Curry REBOUND (Off:0 Def:1)",NA,2.21666666666667,45.7833333333333,9,47,NA,NA,NA
"21",NA,"Home",21700002,30,6,2,1,"11:05 PM","9:47",NA,"Paul S.FOUL (P1.T2) (R.Garretson)",2.21666666666667,45.7833333333333,9,47,NA,NA,NA
"22","5 - 8","Home",21700002,32,3,11,1,"11:06 PM","9:47","Green Free Throw 1 of 2 (1 PTS)",NA,2.21666666666667,45.7833333333333,9,47,5,8,3
"23","5 - 9","Home",21700002,33,3,12,1,"11:06 PM","9:47","Green Free Throw 2 of 2 (2 PTS)",NA,2.21666666666667,45.7833333333333,9,47,5,9,4
"24",NA,"Home",21700002,34,6,1,1,"11:06 PM","9:41","Curry P.FOUL (P1.T1) (S.Foster)",NA,2.31666666666667,45.6833333333333,9,41,NA,NA,NA
"25",NA,"Home",21700002,36,2,1,1,"11:07 PM","9:33","Thompson BLOCK (1 BLK)","MISS Harden 6' Jump Shot",2.45,45.55,9,33,NA,NA,NA
"26",NA,"Home",21700002,38,4,0,1,"11:07 PM","9:24","Thompson REBOUND (Off:0 Def:1)",NA,2.6,45.4,9,24,NA,NA,NA
"27",NA,"Home",21700002,39,6,26,1,"11:07 PM","9:24","Durant Offensive Charge Foul (P1.T2) (S.Foster)",NA,2.6,45.4,9,24,NA,NA,NA
"28",NA,"Home",21700002,41,5,37,1,"11:07 PM","9:24","Durant Offensive Foul Turnover (P1.T1)",NA,2.6,45.4,9,24,NA,NA,NA
"29",NA,"Home",21700002,42,2,57,1,"11:07 PM","9:10",NA,"MISS Ariza 8' Driving Hook Shot",2.83333333333333,45.1666666666667,9,10,NA,NA,NA
"30",NA,"Home",21700002,43,4,0,1,"11:07 PM","9:02","Green REBOUND (Off:0 Def:1)",NA,2.96666666666667,45.0333333333333,9,2,NA,NA,NA
"31","5 - 12","Home",21700002,44,1,1,1,"11:07 PM","9:00","Thompson 26' 3PT Jump Shot (8 PTS) (Durant 1 AST)",NA,3,45,9,0,5,12,7
"32",NA,"Home",21700002,46,5,2,1,"11:08 PM","8:40","Thompson STEAL (2 STL)","Capela Lost Ball Turnover (P1.T2)",3.33333333333333,44.6666666666667,8,40,NA,NA,NA
"33",NA,"Home",21700002,48,6,1,1,"11:08 PM","8:38",NA,"Harden P.FOUL (P1.T3) (R.Garretson)",3.36666666666667,44.6333333333333,8,38,NA,NA,NA
"34",NA,"Home",21700002,50,2,5,1,"11:08 PM","8:29","MISS Green 2' Layup","Capela BLOCK (1 BLK)",3.51666666666667,44.4833333333333,8,29,NA,NA,NA
"35",NA,"Home",21700002,51,4,0,1,"11:08 PM","8:24",NA,"Paul REBOUND (Off:0 Def:2)",3.6,44.4,8,24,NA,NA,NA
"36","7 - 12","Home",21700002,53,1,5,1,"11:08 PM","8:19",NA,"Ariza 3' Layup (5 PTS) (Paul 2 AST)",3.68333333333333,44.3166666666667,8,19,7,12,5
"37","7 - 15","Home",21700002,56,1,1,1,"11:08 PM","8:09","Curry 26' 3PT Jump Shot (3 PTS) (Durant 2 AST)",NA,3.85,44.15,8,9,7,15,8
"38",NA,"Home",21700002,58,6,1,1,"11:09 PM","8:04","Curry P.FOUL (P2.T3) (R.Garretson)",NA,3.93333333333333,44.0666666666667,8,4,NA,NA,NA
"39",NA,"Home",21700002,61,8,0,1,"11:09 PM","8:04","SUB: McCaw FOR Curry",NA,3.93333333333333,44.0666666666667,8,4,NA,NA,NA
"40","9 - 15","Home",21700002,62,1,63,1,"11:09 PM","8:00",NA,"Paul 12' Fadeaway Jumper (2 PTS) (Harden 1 AST)",4,44,8,0,9,15,6
"41","9 - 17","Home",21700002,64,1,1,1,"11:09 PM","7:49","Pachulia 18' Jump Shot (4 PTS) (Green 3 AST)",NA,4.18333333333333,43.8166666666667,7,49,9,17,8
"42",NA,"Home",21700002,66,5,4,1,"11:10 PM","7:41",NA,"Capela Traveling Turnover (P2.T3)",4.31666666666667,43.6833333333333,7,41,NA,NA,NA
"43",NA,"Home",21700002,67,6,1,1,"11:10 PM","7:29",NA,"Ariza P.FOUL (P1.T4) (R.Garretson)",4.51666666666667,43.4833333333333,7,29,NA,NA,NA
