"","X","id","kraj","all","miasto","web","nazwa","twiter","me","orgn","city","state","wiki","lon","lat"
"1",1,"  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group",NA,"1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg",13.3888599,52.5170365
"2",2,"  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group",NA,"1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg",13.3888599,52.5170365
"3",3,"  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group",NA,"1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg",13.3888599,52.5170365
"4",4,"  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group",NA,"1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg",13.3888599,52.5170365
"5",5,"  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group",NA,"1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg",13.3888599,52.5170365
"6",6,"  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr",NA,NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg",13.3888599,52.5170365
"7",7,"  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr",NA,NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg",13.3888599,52.5170365
"8",8,"  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr",NA,NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg",13.3888599,52.5170365
"9",9,"  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr",NA,NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg",13.3888599,52.5170365
"10",10,"  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr",NA,NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg",13.3888599,52.5170365
"11",11,"  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest",NA,"308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG",13.3888599,52.5170365
"12",12,"  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest",NA,"308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG",13.3888599,52.5170365
"13",13,"  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest",NA,"308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG",13.3888599,52.5170365
"14",14,"  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest",NA,"308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG",13.3888599,52.5170365
"15",15,"  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest",NA,"308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG",13.3888599,52.5170365
"16",16,"  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden",NA,NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG",13.3888599,52.5170365
"17",17,"  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden",NA,NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG",13.3888599,52.5170365
"18",18,"  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden",NA,NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG",13.3888599,52.5170365
"19",19,"  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden",NA,NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG",13.3888599,52.5170365
"20",20,"  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden",NA,NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG",13.3888599,52.5170365
"21",21,"  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble",NA,NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png",13.3888599,52.5170365
"22",22,"  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble",NA,NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png",13.3888599,52.5170365
"23",23,"  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble",NA,NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png",13.3888599,52.5170365
"24",24,"  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble",NA,NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png",13.3888599,52.5170365
"25",25,"  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble",NA,NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png",13.3888599,52.5170365
