"","id","kraj","all","miasto","web","nazwa","twiter","me","orgn","city","state","wiki"
"1","  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group","","1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg"
"2","  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group","","1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg"
"3","  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group","","1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg"
"4","  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group","","1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg"
"5","  Berlin","Germany","  *  Berlin: [Berlin R Users Group](https://www.meetup.com/Berlin-R-Users-Group/ )","  Berlin","https://www.meetup.com/Berlin-R-Users-Group/ ","Berlin R Users Group","","1,509","Berry B.","  Berlin",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Berlin_Skyline_Fernsehturm_02.jpg/1200px-Berlin_Skyline_Fernsehturm_02.jpg"
"6","  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr","",NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg"
"7","  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr","",NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg"
"8","  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr","",NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg"
"9","  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr","",NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg"
"10","  Bochum","Germany","  *  Bochum: [R Users Group Bochum/Ruhr](https://user.ruhr-uni-bochum.de/); [\@useR_bochum](https://twitter.com/useR_bochum)","  Bochum","https://user.ruhr-uni-bochum.de/","R Users Group Bochum/Ruhr","",NA,NA,"  Bochum",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bochum_%28DerHexer%29_2010-08-12_050.jpg/1200px-Bochum_%28DerHexer%29_2010-08-12_050.jpg"
"11","  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest","","308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG"
"12","  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest","","308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG"
"13","  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest","","308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG"
"14","  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest","","308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG"
"15","  Brest","France","  *  Brest: [DataScience Brest](https://www.meetup.com/fr-FR/Data-Science-Brest/)","  Brest","https://www.meetup.com/fr-FR/Data-Science-Brest/","DataScience Brest","","308","Maxime H.","  Brest",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG/1200px-Brest_-_Le_Ch%C3%A2teau_-_PA00089847_-_011.JPG"
"16","  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden","",NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG"
"17","  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden","",NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG"
"18","  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden","",NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG"
"19","  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden","",NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG"
"20","  Dresden","Germany","  *  Dresden: [R User Group Dresden](http://rusersdresden.wordpress.com/)","  Dresden","http://rusersdresden.wordpress.com/","R User Group Dresden","",NA,NA,"  Dresden",NA,"https://upload.wikimedia.org/wikipedia/commons/c/c8/Dresden_montage.JPG"
"21","  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble","",NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png"
"22","  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble","",NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png"
"23","  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble","",NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png"
"24","  Grenoble","France","  *  Grenoble: [R in Grenoble](https://r-in-grenoble.github.io/)","  Grenoble","https://r-in-grenoble.github.io/","R in Grenoble","",NA,NA,"  Grenoble",NA,"https://upload.wikimedia.org/wikipedia/commons/2/23/Panorama_grenoble.png"
