"","V2","X","V1","V3","V4"
"1","-",4646,NA,NA,NA
"2","31_grudnia",1724,"27_grudnia","link",25
"3","31_grudnia",1724,"Dekada_(czas)","link",14
"4","31_grudnia",1724,"21_grudnia","link",10
"5","31_grudnia",1724,"other-empty","external",469
"6","31_grudnia",1724,"29_grudnia","link",52
"7","31_grudnia",1724,"Sylwester_I","link",18
"8","31_grudnia",1724,"other-other","external",19
"9","31_grudnia",1724,"Anthony_Hopkins","link",16
"10","31_grudnia",1724,"26_grudnia","link",47
"11","31_grudnia",1724,"28_grudnia","link",47
"12","31_grudnia",1724,"other-external","external",12
"13","31_grudnia",1724,"other-search","external",3451
"14","31_grudnia",1724,"Nowy_Rok","link",25
"15","31_grudnia",1724,"1_grudnia","link",13
"16","31_grudnia",1724,"XXI_wiek","link",10
"17","31_grudnia",1724,"18_grudnia","link",14
"18","31_grudnia",1724,"24_grudnia","link",41
"19","31_grudnia",1724,"25_grudnia","link",28
"20","31_grudnia",1724,"2018","link",11
"21","31_grudnia",1724,"30_grudnia","link",477
"22","31_grudnia",1724,"other-internal","external",68
"23","31_grudnia",1724,"Sylwester","link",39
"24","Álvaro_Soler",6952,"other-external","external",86
"25","Álvaro_Soler",6952,"other-internal","external",214
"26","Álvaro_Soler",6952,"other-search","external",33087
"27","Álvaro_Soler",6952,"Alwar","link",17
"28","Álvaro_Soler",6952,"other-other","external",460
"29","Álvaro_Soler",6952,"Eterno_agosto","link",11
"30","Álvaro_Soler",6952,"Monika_Lewczuk","link",223
"31","Álvaro_Soler",6952,"other-empty","external",1764
"32","Álvaro_Soler",6952,"Jennifer_Lopez","link",35
"33","Álvaro_Soler",6952,"Betta_Lemme","other",10
"34","ABBA",12680,"Rock_and_Roll_Hall_of_Fame","link",15
"35","ABBA",12680,"Modern_Talking","other",23
"36","ABBA",12680,"Dancing_Queen","link",176
"37","ABBA",12680,"Arrival","link",146
"38","ABBA",12680,"11_grudnia","link",14
"39","ABBA",12680,"Killing_Joke","other",10
"40","ABBA",12680,"Thomas_Anders","other",15
"41","ABBA",12680,"Boney_M.","other",19
"42","ABBA",12680,"other-search","external",112928
"43","ABBA",12680,"Benny_Andersson","link",151
"44","ABBA",12680,"Mamma_Mia_(singel)","link",39
"45","ABBA",12680,"other-other","external",1608
"46","ABBA",12680,"Roxette","link",31
"47","ABBA",12680,"Disco","link",22
"48","ABBA",12680,"ABBA_(album)","link",22
"49","ABBA",12680,"other-empty","external",6681
"50","ABBA",12680,"Avicii","link",14
"51","ABBA",12680,"other-external","external",277
"52","ABBA",12680,"Gimme!_Gimme!_Gimme!_(A_Man_After_Midnight)","link",10
"53","ABBA",12680,"other-internal","external",423
"54","ABBA",12680,"Cher","link",13
"55","ABBA",12680,"Romina_Power","other",33
"56","ABBA",12680,"Al_Bano","other",33
"57","ABBA",12680,"Dyskografia_ABBA","link",19
"58","ABBA",12680,"Anni-Frid_Lyngstad","link",568
"59","ABBA",12680,"The_Visitors","link",14
"60","ABBA",12680,"Maryla_Rodowicz","other",21
"61","ABBA",12680,"Konkurs_Piosenki_Eurowizji_1974","link",11
"62","ABBA",12680,"Mamma_Mia:_Here_We_Go_Again!","link",21
"63","ABBA",12680,"Dieter_Bohlen","other",15
"64","ABBA",12680,"Waterloo_(singel)","link",27
"65","ABBA",12680,"Mamma_Mia!_(film)","link",65
"66","ABBA",12680,"Konkurs_Piosenki_Eurowizji","link",34
"67","Adam_Andruszkiewicz",5840,"Wolni_i_Solidarni","link",121
"68","Adam_Andruszkiewicz",5840,"Jakub_Kulesza","other",81
"69","Adam_Andruszkiewicz",5840,"Andruszkiewicz","link",46
"70","Adam_Andruszkiewicz",5840,"other-external","external",427
"71","Adam_Andruszkiewicz",5840,"other-other","external",195
"72","Adam_Andruszkiewicz",5840,"Ministerstwo_Cyfryzacji","link",25
"73","Adam_Andruszkiewicz",5840,"other-search","external",20477
"74","Adam_Andruszkiewicz",5840,"other-internal","external",311
"75","Adam_Andruszkiewicz",5840,"Robert_Winnicki","other",113
"76","Adam_Andruszkiewicz",5840,"other-empty","external",979
"77","Adam_Andruszkiewicz",5840,"Ruch_Narodowy","link",25
"78","Adam_Andruszkiewicz",5840,"Sylwester_Chruszcz","link",49
"79","Afera_zbożowa",2595,"other-empty","external",2060
"80","Afera_zbożowa",2595,"other-search","external",172
"81","Afera_zbożowa",2595,"other-external","external",2224
"82","Afera_zbożowa",2595,"other-internal","external",23
"83","Agnetha_Fältskog",5593,"other-internal","external",49
"84","Agnetha_Fältskog",5593,"The_Winner_Takes_It_All","link",25
"85","Agnetha_Fältskog",5593,"Anni-Frid_Lyngstad","link",2115
"86","Agnetha_Fältskog",5593,"other-external","external",26
"87","Agnetha_Fältskog",5593,"other-empty","external",1819
"88","Agnetha_Fältskog",5593,"ABBA","link",32852
"89","Agnetha_Fältskog",5593,"other-search","external",6993
"90","Agnetha_Fältskog",5593,"Benny_Andersson","link",230
"91","Agnetha_Fältskog",5593,"other-other","external",186
"92","Agnetha_Fältskog",5593,"People_Need_Love","link",11
"93","Agnieszka_Chylińska",10506,"other-internal","external",286
"94","Agnieszka_Chylińska",10506,"Modern_Rocking","link",13
"95","Agnieszka_Chylińska",10506,"Modlishka","link",12
"96","Agnieszka_Chylińska",10506,"Pink_Punk","link",11
"97","Agnieszka_Chylińska",10506,"other-search","external",27738
"98","Agnieszka_Chylińska",10506,"Forever_Child","link",10
"99","Agnieszka_Chylińska",10506,"other-external","external",87
"100","Agnieszka_Chylińska",10506,"Skawalker","link",17
"101","Agnieszka_Chylińska",10506,"O.N.A.","link",400
"102","Agnieszka_Chylińska",10506,"Winna_(album)","link",13
